Name of Location (if applicable),Address,City,State,Zipcode,(Sub Categories: School & Family),Full Address,Longitude,Latitude
Alexander Valley Elementary School,"8511 Hwy 128, Healdsburg, CA 95448",Healdsburg,CA,95448,"Family Shows, School Shows","8511 Hwy 128, Healdsburg, CA 95448 Healdsburg CA",-122.794013,38.6550293
Austin Creek Elementary School,"1480 Snowy Egret Dr, Santa Rosa, CA 95409",Santa Rosa,CA,95409,"Family Shows, School Shows","1480 Snowy Egret Dr, Santa Rosa, CA 95409 Santa Rosa CA",-122.6375698,38.4653119
Sonoma County Homeschoolers Non-Profit,"801 Quail St, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"801 Quail St, Healdsburg, CA 95448 Healdsburg CA",-122.8556543,38.6101874
Oak Grove Elementary School,"8760 Bower St, Santa Rosa, CA 95472",Santa Rosa,CA,95472,School Shows,"8760 Bower St, Santa Rosa, CA 95472 Santa Rosa CA",-122.8640168,38.4324317
The Presentation School,"20872 Broadway, Santa Rosa, CA 95476",Santa Rosa,CA,95476,School Shows,"20872 Broadway, Santa Rosa, CA 95476 Santa Rosa CA",-122.7140548,38.440429
Harmony Elementary School,"1935 Bohemian Hwy, Occidental, CA 95465",Occidental,CA,95465,School Shows,"1935 Bohemian Hwy, Occidental, CA 95465 Occidental CA",-122.9307362,38.388662
Village Elementary School,"900 Yulupa Ave, Santa Rosa, CA 95405",Santa Rosa,CA,95405,School Shows,"900 Yulupa Ave, Santa Rosa, CA 95405 Santa Rosa CA",-122.6750259,38.4453945
Yulupa Elementary School,"2250 Mesquite Dr, Santa Rosa, CA 95405",Santa Rosa,CA,95405,School Shows,"2250 Mesquite Dr, Santa Rosa, CA 95405 Santa Rosa CA",-122.6733487,38.429427
Lincoln Elementary School,"170 Liberty School Rd, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"170 Liberty School Rd, Petaluma, CA 94952 Petaluma CA",-122.7061959,38.2787482
Pathways Charter School,"150 Professional Center Dr Ste C, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"150 Professional Center Dr Ste C, Rohnert Park, CA 94928 Rohnert Park CA",-122.7102843,38.3544294
Old Adobe Charter School,"2856 Adobe Rd, Petaluma, CA 94954",Petaluma,CA,94954,School Shows,"2856 Adobe Rd, Petaluma, CA 94954 Petaluma CA",-122.5980462,38.2621834
Apple Blossom Elementary School,"700 Watertrough Rd, Sebastopol, CA 95472",Sebastopol,CA,95472,School Shows,"700 Watertrough Rd, Sebastopol, CA 95472 Sebastopol CA",-122.8535094,38.3881643
R.L. Stevens Elementary School,"2345 Giffen Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"2345 Giffen Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7412082,38.4192526
Healdsburg Elementary School - Fitch Mountain Campus,"520 Monte Vista Ave, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"520 Monte Vista Ave, Healdsburg, CA 95448 Healdsburg CA",-122.8632238,38.6234439
Kenwood Elementary School,"230 Randolph Ave, Kenwood, CA 95452",Kenwood,CA,95452,School Shows,"230 Randolph Ave, Kenwood, CA 95452 Kenwood CA",-122.5538016,38.4155804
Mark West Elementary School,"4600 Lavell Rd, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"4600 Lavell Rd, Santa Rosa, CA 95403 Santa Rosa CA",-122.7592906,38.5025189
Meadow View Elementary School,"2665 Dutton Meadow Ave, Santa Rosa, CA 95407",Santa Rosa,CA,95407,School Shows,"2665 Dutton Meadow Ave, Santa Rosa, CA 95407 Santa Rosa CA",-122.7294971,38.41252009999999
Flowery Elementary School,"17600 Sonoma Ave, Sonoma, CA 95476",Sonoma,CA,95476,School Shows,"17600 Sonoma Ave, Sonoma, CA 95476 Sonoma CA",-122.4871369,38.319364
Mattie Washburn Elementary School,"75 Pleasant Ave, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"75 Pleasant Ave, Santa Rosa, CA 95403 Santa Rosa CA",-122.791925,38.541559
Manzanita Elementary School,"1687 Yulupa Ave, Santa Rosa, CA 95405",Santa Rosa,CA,95405,School Shows,"1687 Yulupa Ave, Santa Rosa, CA 95405 Santa Rosa CA",-122.6707515,38.4374958
Woodside West School,"2577 Guerneville Rd, Sonoma, CA 95401",Sonoma,CA,95401,School Shows,"2577 Guerneville Rd, Sonoma, CA 95401 Sonoma CA",-122.7724314,38.4529568
Riebli Elementary School,"315 Mark West Springs Rd, Santa Rosa, CA 95404",Santa Rosa,CA,95404,School Shows,"315 Mark West Springs Rd, Santa Rosa, CA 95404 Santa Rosa CA",-122.7417595,38.5009003
Village Charter School,"2590 Piner Rd, Santa Rosa, CA 95401",Santa Rosa,CA,95401,School Shows,"2590 Piner Rd, Santa Rosa, CA 95401 Santa Rosa CA",-122.7722219,38.4660864
San Miguel Elementary School,"5350 Faught Rd, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"5350 Faught Rd, Santa Rosa, CA 95403 Santa Rosa CA",-122.7595552,38.5142697
Thomas Page Academy,"1075 Madrone Ave, Rohnert Park, CA 94928",Rohnert Park,CA,94928,School Shows,"1075 Madrone Ave, Rohnert Park, CA 94928 Rohnert Park CA",-122.7011951,38.3437823
St. John's Catholic School,"217 Fitch St, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"217 Fitch St, Healdsburg, CA 95448 Healdsburg CA",-122.8672642,38.6103583
Anova Center for Education,"50 Mark West Springs Rd, Santa Rosa, CA 95403",Santa Rosa,CA,95403,School Shows,"50 Mark West Springs Rd, Santa Rosa, CA 95403 Santa Rosa CA",-122.7489267,38.4933796
Montgomery Elementary School,"18620 Fort Ross Rd, Cazadero, CA 95421",Cazadero,CA,95421,School Shows,"18620 Fort Ross Rd, Cazadero, CA 95421 Cazadero CA",-123.092044,38.5395543
The Healdsburg School,"33-H Healdsburg Ave, Healdsburg, CA 95448",Healdsburg,CA,95448,School Shows,"33-H Healdsburg Ave, Healdsburg, CA 95448 Healdsburg CA",-122.8640243,38.6031532
Heartwood Charter School,"170 Liberty School Rd, Petaluma, CA 94952",Petaluma,CA,94952,School Shows,"170 Liberty School Rd, Petaluma, CA 94952 Petaluma CA",-122.7061959,38.2787482
