Name,(Sub Categories: School & Family),Longitude,Latitude
Alexander Valley Elementary School,"Family Shows, School Shows",-122.794013,38.6550293
Austin Creek Elementary School,"Family Shows, School Shows",-122.6375698,38.4653119
Sonoma County Homeschoolers Non-Profit,School Shows,-122.8556543,38.6101874
Oak Grove Elementary School,School Shows,-122.8640168,38.4324317
The Presentation School,School Shows,-122.7140548,38.440429
Harmony Elementary School,School Shows,-122.9307362,38.388662
Village Elementary School,School Shows,-122.6750259,38.4453945
Yulupa Elementary School,School Shows,-122.6733487,38.429427
Lincoln Elementary School,School Shows,-122.7061959,38.2787482
Pathways Charter School,School Shows,-122.7102843,38.3544294
Old Adobe Charter School,School Shows,-122.5980462,38.2621834
Apple Blossom Elementary School,School Shows,-122.8535094,38.3881643
R.L. Stevens Elementary School,School Shows,-122.7412082,38.4192526
Healdsburg Elementary School - Fitch Mountain Campus,School Shows,-122.8632238,38.6234439
Kenwood Elementary School,School Shows,-122.5538016,38.4155804
Mark West Elementary School,School Shows,-122.7592906,38.5025189
Meadow View Elementary School,School Shows,-122.7294971,38.41252009999999
Flowery Elementary School,School Shows,-122.4871369,38.319364
Mattie Washburn Elementary School,School Shows,-122.791925,38.541559
Manzanita Elementary School,School Shows,-122.6707515,38.4374958
Woodside West School,School Shows,-122.7724314,38.4529568
Riebli Elementary School,School Shows,-122.7417595,38.5009003
Village Charter School,School Shows,-122.7722219,38.4660864
San Miguel Elementary School,School Shows,-122.7595552,38.5142697
Thomas Page Academy,School Shows,-122.7011951,38.3437823
St. John's Catholic School,School Shows,-122.8672642,38.6103583
Anova Center for Education,School Shows,-122.7489267,38.4933796
Montgomery Elementary School,School Shows,-123.092044,38.5395543
The Healdsburg School,School Shows,-122.8640243,38.6031532
Heartwood Charter School,School Shows,-122.7061959,38.2787482
Loma Vista Immersion Academy,School Shows,-122.6269507,38.2557572
Sonoma Country Day School,School Shows,-122.7877307,38.516932
Hillcrest Middle School,School Shows,-122.805482,38.37012199999999
Olivet Charter School,School Shows,-122.8089895,38.4642009
Orchard View School,School Shows,-122.8535094,38.3881643
Strawberry Elementary School,School Shows,-122.6613428,38.4346479
Evergreen Elementary School,School Shows,-122.6902075,38.356685
McKinley Elementary School,School Shows,-122.6328125,38.2451995
Spring Lake Middle School,School Shows,-122.6659962,38.4441182
Liberty Elementary School,School Shows,-122.7061959,38.2787482
Monroe Elementary School,School Shows,-122.7514458,38.457026
Madrone Elementary School,School Shows,-122.6740107,38.46863829999999
Roseland Creek Elementary School,School Shows,-122.7355533,38.4231445
Taylor Mountain Elementary School,School Shows,-122.7140548,38.440429
Forestville Elementary School,School Shows,-122.8870983,38.4737503
Woodland Star Charter School,School Shows,-122.4955458,38.3127372
Santa Rosa Charter School for the Arts,School Shows,-122.7136595,38.4471747
Castle Preschool,School Shows,-122.8299574,38.4003655
Mark West Charter School,School Shows,-122.7595552,38.5142697
Penngrove Elementary School,School Shows,-122.6680522,38.3001133
Windsor High School,School Shows,-122.8176174,38.5421435
Cali Calmécac Language Academy,School Shows,-122.826564,38.5500885
Schaefer Charter School,School Shows,-122.7457488,38.4745819
McDowell Elementary School,School Shows,-122.6202828,38.2467186
Sequoia Elementary School,School Shows,-122.6529556,38.4698037
Redwood Adventist Academy,School Shows,-122.740282,38.50211669999999
La Tercera Elementary School,School Shows,-122.6087124,38.2465514
SCOE - Special Education,School Shows,-122.6921272,38.3252619
